scope_type;scope_value;feature_1;feature_2;correlation;abs_correlation;n_observations;scope_type_label;scope;feature_1_label;feature_2_label
canton;BE_JU;pressure_station;pressure_qnh;0,9999925209430847;0,9999925209430847;96421;Canton;Canton | BE_JU;Station Pressure;Pressure QNH
canton;BE_JU;vapour_pressure;dew_point;0,9803248540962062;0,9803248540962062;96421;Canton;Canton | BE_JU;Vapour Pressure;Dew Point
canton;BE_JU;month;week_of_year;0,9716682517901774;0,9716682517901774;96421;Canton;Canton | BE_JU;Month;Week of Year
canton;BE_JU;quarter;month;0,9713967381377403;0,9713967381377403;96421;Canton;Canton | BE_JU;Quarter;Month
canton;BE_JU;temperature_2m;hdd;-0,9684872294795516;0,9684872294795516;96421;Canton;Canton | BE_JU;Temperature;Heating Degree Days
canton;BE_JU;quarter;week_of_year;0,9473245411415218;0,9473245411415218;96421;Canton;Canton | BE_JU;Quarter;Week of Year
canton;BE_JU;dew_point;hdd;-0,8942730792915331;0,8942730792915331;96421;Canton;Canton | BE_JU;Dew Point;Heating Degree Days
canton;BE_JU;temperature_2m;dew_point;0,8725164957461381;0,8725164957461381;96421;Canton;Canton | BE_JU;Temperature;Dew Point
canton;BE_JU;vapour_pressure;hdd;-0,8632145843524799;0,8632145843524799;96421;Canton;Canton | BE_JU;Vapour Pressure;Heating Degree Days
canton;BE_JU;temperature_2m;vapour_pressure;0,8592714659109536;0,8592714659109536;96421;Canton;Canton | BE_JU;Temperature;Vapour Pressure
canton;BE_JU;global_radiation;sunshine_duration;0,8230831203329735;0,8230831203329735;96421;Canton;Canton | BE_JU;Global Radiation;Sunshine Duration
canton;BE_JU;cdd;is_extreme_heat;0,8115786933415828;0,8115786933415828;96421;Canton;Canton | BE_JU;Cooling Degree Days;Extreme Heat
canton;BE_JU;day_of_week;is_weekend;0,7905130307480541;0,7905130307480541;96421;Canton;Canton | BE_JU;Day of Week;Weekend
canton;BE_JU;consumption_mwh;consumption_lag_24h;0,7664674154738761;0,7664674154738761;96421;Canton;Canton | BE_JU;consumption_mwh;Consumption Lag (24h)
canton;BE_JU;consumption_mwh;consumption_lag_168h;0,7378890691401991;0,7378890691401991;96421;Canton;Canton | BE_JU;consumption_mwh;Consumption Lag (168h)
canton;BE_JU;consumption_lag_24h;consumption_lag_168h;0,6715370648439817;0,6715370648439817;96421;Canton;Canton | BE_JU;Consumption Lag (24h);Consumption Lag (168h)
canton;BE_JU;humidity_rel;global_radiation;-0,6703824331046291;0,6703824331046291;96421;Canton;Canton | BE_JU;Relative Humidity;Global Radiation
canton;BE_JU;precipitation;heavy_precipitation_flag;0,6596329098298858;0,6596329098298858;96421;Canton;Canton | BE_JU;Precipitation;Heavy Precipitation Flag
canton;BE_JU;temperature_2m;cdd;0,658436980916296;0,658436980916296;96421;Canton;Canton | BE_JU;Temperature;Cooling Degree Days
canton;BE_JU;global_radiation;is_business_hour;0,6558354918402587;0,6558354918402587;96421;Canton;Canton | BE_JU;Global Radiation;Business Hour
canton;BE_JU;humidity_rel;sunshine_duration;-0,6394017316616132;0,6394017316616132;96421;Canton;Canton | BE_JU;Relative Humidity;Sunshine Duration
canton;BE_JU;temperature_2m;humidity_rel;-0,5893002861239225;0,5893002861239225;96421;Canton;Canton | BE_JU;Temperature;Relative Humidity
canton;BE_JU;hdd;is_extreme_cold;0,5885345379030558;0,5885345379030558;96421;Canton;Canton | BE_JU;Heating Degree Days;Extreme Cold
canton;BE_JU;humidity_rel;cdd;-0,5722038401275646;0,5722038401275646;96421;Canton;Canton | BE_JU;Relative Humidity;Cooling Degree Days
canton;BE_JU;dew_point;consumption_lag_24h;-0,5709990583776174;0,5709990583776174;96421;Canton;Canton | BE_JU;Dew Point;Consumption Lag (24h)
canton;BE_JU;consumption_mwh;dew_point;-0,5702635708808098;0,5702635708808098;96421;Canton;Canton | BE_JU;consumption_mwh;Dew Point
canton;BE_JU;consumption_mwh;hdd;0,5667314055977287;0,5667314055977287;96421;Canton;Canton | BE_JU;consumption_mwh;Heating Degree Days
canton;BE_JU;vapour_pressure;consumption_lag_24h;-0,5557161956900064;0,5557161956900064;96421;Canton;Canton | BE_JU;Vapour Pressure;Consumption Lag (24h)
canton;BE_JU;hdd;consumption_lag_24h;0,5537853112891856;0,5537853112891856;96421;Canton;Canton | BE_JU;Heating Degree Days;Consumption Lag (24h)
canton;BE_JU;consumption_mwh;vapour_pressure;-0,5514763585328215;0,5514763585328215;96421;Canton;Canton | BE_JU;consumption_mwh;Vapour Pressure
canton;BE_JU;dew_point;is_extreme_cold;-0,5381391515030644;0,5381391515030644;96421;Canton;Canton | BE_JU;Dew Point;Extreme Cold
canton;BE_JU;temperature_2m;is_extreme_cold;-0,5310503273156111;0,5310503273156111;96421;Canton;Canton | BE_JU;Temperature;Extreme Cold
canton;BE_JU;dew_point;consumption_lag_168h;-0,5285996991605939;0,5285996991605939;96421;Canton;Canton | BE_JU;Dew Point;Consumption Lag (168h)
canton;BE_JU;consumption_mwh;temperature_2m;-0,5284777432088436;0,5284777432088436;96421;Canton;Canton | BE_JU;consumption_mwh;Temperature
canton;BE_JU;temperature_2m;global_radiation;0,525041207064781;0,525041207064781;96421;Canton;Canton | BE_JU;Temperature;Global Radiation
canton;BE_JU;vapour_pressure;consumption_lag_168h;-0,5221971208738929;0,5221971208738929;96421;Canton;Canton | BE_JU;Vapour Pressure;Consumption Lag (168h)
canton;BE_JU;precipitation;precipitation_flag;0,5218270798282739;0,5218270798282739;96421;Canton;Canton | BE_JU;Precipitation;Precipitation Flag
canton;BE_JU;temperature_2m;consumption_lag_24h;-0,5164713776936479;0,5164713776936479;96421;Canton;Canton | BE_JU;Temperature;Consumption Lag (24h)
canton;BE_JU;global_radiation;cdd;0,516137769031652;0,516137769031652;96421;Canton;Canton | BE_JU;Global Radiation;Cooling Degree Days
canton;BE_JU;sunshine_duration;is_business_hour;0,5103548042485501;0,5103548042485501;96421;Canton;Canton | BE_JU;Sunshine Duration;Business Hour
canton;BE_JU;humidity_rel;hdd;0,5097784914178208;0,5097784914178208;96421;Canton;Canton | BE_JU;Relative Humidity;Heating Degree Days
canton;BE_JU;hdd;consumption_lag_168h;0,4986696477174782;0,4986696477174782;96421;Canton;Canton | BE_JU;Heating Degree Days;Consumption Lag (168h)
canton;BE_JU;humidity_rel;is_business_hour;-0,4731125959805172;0,4731125959805172;96421;Canton;Canton | BE_JU;Relative Humidity;Business Hour
canton;BE_JU;vapour_pressure;cdd;0,4720343484463305;0,4720343484463305;96421;Canton;Canton | BE_JU;Vapour Pressure;Cooling Degree Days
canton;BE_JU;temperature_2m;consumption_lag_168h;-0,4664587291943344;0,4664587291943344;96421;Canton;Canton | BE_JU;Temperature;Consumption Lag (168h)
canton;BE_JU;sunshine_duration;cdd;0,46386682026192344;0,46386682026192344;96421;Canton;Canton | BE_JU;Sunshine Duration;Cooling Degree Days
canton;BE_JU;temperature_2m;sunshine_duration;0,45341945658773963;0,45341945658773963;96421;Canton;Canton | BE_JU;Temperature;Sunshine Duration
canton;BE_JU;global_radiation;hdd;-0,4520963871892467;0,4520963871892467;96421;Canton;Canton | BE_JU;Global Radiation;Heating Degree Days
canton;BE_JU;hdd;cdd;-0,45023389777280265;0,45023389777280265;96421;Canton;Canton | BE_JU;Heating Degree Days;Cooling Degree Days
canton;BE_JU;temperature_2m;is_extreme_heat;0,4465195519525564;0,4465195519525564;96421;Canton;Canton | BE_JU;Temperature;Extreme Heat
canton;BE_JU;vapour_pressure;is_extreme_cold;-0,44392639895398256;0,44392639895398256;96421;Canton;Canton | BE_JU;Vapour Pressure;Extreme Cold
canton;BE_JU;dew_point;cdd;0,42566415781128364;0,42566415781128364;96421;Canton;Canton | BE_JU;Dew Point;Cooling Degree Days
canton;BE_JU;humidity_rel;wind_speed;-0,4114356469750008;0,4114356469750008;96421;Canton;Canton | BE_JU;Relative Humidity;Wind Speed
canton;BE_JU;humidity_rel;is_extreme_heat;-0,4076398252772266;0,4076398252772266;96421;Canton;Canton | BE_JU;Relative Humidity;Extreme Heat
canton;BE_JU;sunshine_duration;hdd;-0,3844234846156599;0,3844234846156599;96421;Canton;Canton | BE_JU;Sunshine Duration;Heating Degree Days
canton;BE_JU;global_radiation;is_extreme_heat;0,3624278609903292;0,3624278609903292;96421;Canton;Canton | BE_JU;Global Radiation;Extreme Heat
canton;BE_JU;consumption_mwh;is_extreme_cold;0,34125633844634984;0,34125633844634984;96421;Canton;Canton | BE_JU;consumption_mwh;Extreme Cold
canton;BE_JU;sunshine_duration;is_extreme_heat;0,33452797011111385;0,33452797011111385;96421;Canton;Canton | BE_JU;Sunshine Duration;Extreme Heat
canton;BE_JU;is_extreme_cold;consumption_lag_24h;0,3268203542420571;0,3268203542420571;96421;Canton;Canton | BE_JU;Extreme Cold;Consumption Lag (24h)
canton;BE_JU;wind_speed;is_business_hour;0,31672952585125835;0,31672952585125835;96421;Canton;Canton | BE_JU;Wind Speed;Business Hour
canton;BE_JU;vapour_pressure;is_extreme_heat;0,2963480124367432;0,2963480124367432;96421;Canton;Canton | BE_JU;Vapour Pressure;Extreme Heat
canton;BE_JU;global_radiation;wind_speed;0,2958818004434274;0,2958818004434274;96421;Canton;Canton | BE_JU;Global Radiation;Wind Speed
canton;BE_JU;dew_point;quarter;0,2786271573682151;0,2786271573682151;96421;Canton;Canton | BE_JU;Dew Point;Quarter
canton;BE_JU;is_extreme_cold;consumption_lag_168h;0,2762144959489427;0,2762144959489427;96421;Canton;Canton | BE_JU;Extreme Cold;Consumption Lag (168h)
canton;BE_JU;dew_point;week_of_year;0,27598069179725837;0,27598069179725837;96421;Canton;Canton | BE_JU;Dew Point;Week of Year
canton;BE_JU;dew_point;month;0,275754481708817;0,275754481708817;96421;Canton;Canton | BE_JU;Dew Point;Month
canton;BE_JU;cdd;is_business_hour;0,26752619461695926;0,26752619461695926;96421;Canton;Canton | BE_JU;Cooling Degree Days;Business Hour
canton;BE_JU;dew_point;is_extreme_heat;0,2633277220839885;0,2633277220839885;96421;Canton;Canton | BE_JU;Dew Point;Extreme Heat
canton;BE_JU;hdd;is_extreme_heat;-0,26117233379584204;0,26117233379584204;96421;Canton;Canton | BE_JU;Heating Degree Days;Extreme Heat
canton;BE_JU;humidity_rel;hour;-0,25662468227329743;0,25662468227329743;96421;Canton;Canton | BE_JU;Relative Humidity;Hour
canton;BE_JU;pressure_qnh;precipitation_flag;-0,2564144592417652;0,2564144592417652;96421;Canton;Canton | BE_JU;Pressure QNH;Precipitation Flag
canton;BE_JU;pressure_station;precipitation_flag;-0,2564099804679031;0,2564099804679031;96421;Canton;Canton | BE_JU;Station Pressure;Precipitation Flag
canton;BE_JU;vapour_pressure;quarter;0,2480920023437784;0,2480920023437784;96421;Canton;Canton | BE_JU;Vapour Pressure;Quarter
canton;BE_JU;vapour_pressure;month;0,24674307843980645;0,24674307843980645;96421;Canton;Canton | BE_JU;Vapour Pressure;Month
canton;BE_JU;vapour_pressure;week_of_year;0,245677236772751;0,245677236772751;96421;Canton;Canton | BE_JU;Vapour Pressure;Week of Year
canton;BE_JU;temperature_2m;is_business_hour;0,24557455593259148;0,24557455593259148;96421;Canton;Canton | BE_JU;Temperature;Business Hour
canton;BE_JU;humidity_rel;precipitation_flag;0,24411974498284014;0,24411974498284014;96421;Canton;Canton | BE_JU;Relative Humidity;Precipitation Flag
canton;BE_JU;global_radiation;vapour_pressure;0,24050306032166555;0,24050306032166555;96421;Canton;Canton | BE_JU;Global Radiation;Vapour Pressure
canton;BE_JU;global_radiation;dew_point;0,23843729012034287;0,23843729012034287;96421;Canton;Canton | BE_JU;Global Radiation;Dew Point
canton;BE_JU;humidity_rel;is_extreme_cold;0,2150885854643533;0,2150885854643533;96421;Canton;Canton | BE_JU;Relative Humidity;Extreme Cold
canton;BE_JU;consumption_lag_168h;is_business_hour;0,20706695417906645;0,20706695417906645;96421;Canton;Canton | BE_JU;Consumption Lag (168h);Business Hour
canton;BE_JU;consumption_mwh;is_business_hour;0,20670253270143554;0,20670253270143554;96421;Canton;Canton | BE_JU;consumption_mwh;Business Hour
canton;BE_JU;consumption_lag_24h;is_business_hour;0,2065929193471475;0,2065929193471475;96421;Canton;Canton | BE_JU;Consumption Lag (24h);Business Hour
canton;BE_JU;sunshine_duration;precipitation_flag;-0,20523950863614676;0,20523950863614676;96421;Canton;Canton | BE_JU;Sunshine Duration;Precipitation Flag
canton;BE_JU;hdd;is_business_hour;-0,20281414988023633;0,20281414988023633;96421;Canton;Canton | BE_JU;Heating Degree Days;Business Hour
canton;BE_JU;sunshine_duration;wind_speed;0,20240129946566884;0,20240129946566884;96421;Canton;Canton | BE_JU;Sunshine Duration;Wind Speed
canton;BE_JU;is_extreme_heat;is_business_hour;0,19325110103398138;0,19325110103398138;96421;Canton;Canton | BE_JU;Extreme Heat;Business Hour
canton;BE_JU;consumption_lag_168h;is_weekend;-0,1833300520653222;0,1833300520653222;96421;Canton;Canton | BE_JU;Consumption Lag (168h);Weekend
canton;BE_JU;consumption_mwh;is_weekend;-0,18300310188951635;0,18300310188951635;96421;Canton;Canton | BE_JU;consumption_mwh;Weekend
canton;BE_JU;consumption_mwh;cdd;-0,18204625972545369;0,18204625972545369;96421;Canton;Canton | BE_JU;consumption_mwh;Cooling Degree Days
canton;BE_JU;cdd;consumption_lag_24h;-0,17827475149471364;0,17827475149471364;96421;Canton;Canton | BE_JU;Cooling Degree Days;Consumption Lag (24h)
canton;BE_JU;global_radiation;is_extreme_cold;-0,176869377475175;0,176869377475175;96421;Canton;Canton | BE_JU;Global Radiation;Extreme Cold
canton;BE_JU;humidity_rel;week_of_year;0,1760975647804373;0,1760975647804373;96421;Canton;Canton | BE_JU;Relative Humidity;Week of Year
canton;BE_JU;humidity_rel;month;0,17590547772297274;0,17590547772297274;96421;Canton;Canton | BE_JU;Relative Humidity;Month
canton;BE_JU;humidity_rel;quarter;0,172892615642434;0,172892615642434;96421;Canton;Canton | BE_JU;Relative Humidity;Quarter
canton;BE_JU;global_radiation;precipitation_flag;-0,1727747193105139;0,1727747193105139;96421;Canton;Canton | BE_JU;Global Radiation;Precipitation Flag
canton;BE_JU;sunshine_duration;vapour_pressure;0,17043558943879525;0,17043558943879525;96421;Canton;Canton | BE_JU;Sunshine Duration;Vapour Pressure
canton;BE_JU;sunshine_duration;dew_point;0,1661670218672295;0,1661670218672295;96421;Canton;Canton | BE_JU;Sunshine Duration;Dew Point
canton;BE_JU;cdd;consumption_lag_168h;-0,1657370838361519;0,1657370838361519;96421;Canton;Canton | BE_JU;Cooling Degree Days;Consumption Lag (168h)
canton;BE_JU;hdd;quarter;-0,16229238314891828;0,16229238314891828;96421;Canton;Canton | BE_JU;Heating Degree Days;Quarter
canton;BE_JU;consumption_lag_168h;day_of_week;-0,1608762671834571;0,1608762671834571;96421;Canton;Canton | BE_JU;Consumption Lag (168h);Day of Week
canton;BE_JU;consumption_mwh;day_of_week;-0,16082270227091927;0,16082270227091927;96421;Canton;Canton | BE_JU;consumption_mwh;Day of Week
canton;BE_JU;hdd;week_of_year;-0,15896947238042292;0,15896947238042292;96421;Canton;Canton | BE_JU;Heating Degree Days;Week of Year
canton;BE_JU;hdd;month;-0,1585505045868407;0,1585505045868407;96421;Canton;Canton | BE_JU;Heating Degree Days;Month
canton;BE_JU;temperature_2m;quarter;0,15468737708835567;0,15468737708835567;96421;Canton;Canton | BE_JU;Temperature;Quarter
canton;BE_JU;consumption_lag_168h;quarter;-0,15386327612777373;0,15386327612777373;96421;Canton;Canton | BE_JU;Consumption Lag (168h);Quarter
