scope_type;scope_value;feature;target;correlation;abs_correlation;n_observations;feature_label;feature_category;scope_type_label;scope;rank_abs_corr;rank_corr_desc;correlation_direction
canton;BE_JU;consumption_lag_24h;consumption_mwh;0,7664674154738761;0,7664674154738761;96421;Consumption Lag (24h);Lag / Historical;Canton;Canton | BE_JU;1,0;1,0;Positive
canton;BE_JU;consumption_lag_168h;consumption_mwh;0,7378890691401991;0,7378890691401991;96421;Consumption Lag (168h);Lag / Historical;Canton;Canton | BE_JU;2,0;2,0;Positive
canton;BE_JU;dew_point;consumption_mwh;-0,5702635708808098;0,5702635708808098;96421;Dew Point;Temperature / Thermal;Canton;Canton | BE_JU;3,0;27,0;Negative
canton;BE_JU;hdd;consumption_mwh;0,5667314055977287;0,5667314055977287;96421;Heating Degree Days;Temperature / Thermal;Canton;Canton | BE_JU;4,0;3,0;Positive
canton;BE_JU;vapour_pressure;consumption_mwh;-0,5514763585328215;0,5514763585328215;96421;Vapour Pressure;Temperature / Thermal;Canton;Canton | BE_JU;5,0;26,0;Negative
canton;BE_JU;temperature_2m;consumption_mwh;-0,5284777432088436;0,5284777432088436;96421;Temperature;Temperature / Thermal;Canton;Canton | BE_JU;6,0;25,0;Negative
canton;BE_JU;is_extreme_cold;consumption_mwh;0,34125633844634984;0,34125633844634984;96421;Extreme Cold;Extreme Weather Flags;Canton;Canton | BE_JU;7,0;4,0;Positive
canton;BE_JU;is_business_hour;consumption_mwh;0,20670253270143554;0,20670253270143554;96421;Business Hour;Time Features;Canton;Canton | BE_JU;8,0;5,0;Positive
canton;BE_JU;is_weekend;consumption_mwh;-0,18300310188951635;0,18300310188951635;96421;Weekend;Time Features;Canton;Canton | BE_JU;9,0;24,0;Negative
canton;BE_JU;cdd;consumption_mwh;-0,18204625972545369;0,18204625972545369;96421;Cooling Degree Days;Temperature / Thermal;Canton;Canton | BE_JU;10,0;23,0;Negative
canton;BE_JU;day_of_week;consumption_mwh;-0,16082270227091927;0,16082270227091927;96421;Day of Week;Time Features;Canton;Canton | BE_JU;11,0;22,0;Negative
canton;BE_JU;humidity_rel;consumption_mwh;0,13911424380312382;0,13911424380312382;96421;Relative Humidity;Precipitation / Humidity;Canton;Canton | BE_JU;12,0;6,0;Positive
canton;BE_JU;quarter;consumption_mwh;-0,12269675594557806;0,12269675594557806;96421;Quarter;Time Features;Canton;Canton | BE_JU;13,0;21,0;Negative
